code,latitude,longitude
01293099999,+63.417,+011.733
01295099999,+64.550,+012.150
01296099999,+64.250,+012.417
01298099999,+64.450,+013.717
01300099999,+61.200,+002.267
01300599999,+61.250,+001.850
01304099999,+61.567,+004.683
01306099999,+60.750,+004.717
01307099999,+60.750,+004.717
01308099999,+61.300,+005.050
01309099999,+61.567,+004.800
01310099999,+61.584,+005.025
01311099999,+60.293,+005.218
01314099999,+60.517,+005.717
01315099999,+60.633,+006.100
01316099999,+60.400,+005.317
01317099999,+60.383,+005.333
01318099999,+61.783,+006.183
01319099999,+61.033,+005.383
01320099999,+61.833,+006.117
01321099999,+61.900,+006.550
01322099999,+61.467,+005.917
01323099999,+61.393,+005.764
01325099999,+60.833,+005.950
01326099999,+60.850,+005.983
01327099999,+60.383,+005.967
01328099999,+60.400,+005.917
01329099999,+60.350,+006.267
01330099999,+60.217,+005.983
01332099999,+61.430,+006.770
01336099999,+60.650,+006.217
01337099999,+60.633,+006.433
01338099999,+61.167,+006.650
01339099999,+61.167,+006.650
01340099999,+60.420,+007.280
01341099999,+60.467,+006.867
01342099999,+60.317,+006.650
01344099999,+60.700,+006.950
01345099999,+60.717,+007.217
01346099999,+60.650,+007.267
01347099999,+61.156,+007.137
01347199999,+61.167,+007.133
01350099999,+60.600,+007.533
01351099999,+60.600,+007.500
01352099999,+60.183,+007.483
01355099999,+61.100,+007.500
01356099999,+61.517,+007.900
01357099999,+60.867,+008.517
01358099999,+60.850,+008.600
01359099999,+60.533,+008.200
01359199999,+60.517,+007.867
01360099999,+61.900,+007.900
01361099999,+62.017,+007.667
01362099999,+61.667,+008.367
01364099999,+61.183,+008.117
01365099999,+61.251,+008.917
01366099999,+61.567,+008.000
01367099999,+60.983,+009.217
01367199999,+61.233,+008.933
01368099999,+61.016,+009.288
01369099999,+60.917,+009.283
01370099999,+61.517,+009.400
01371099999,+61.117,+009.067
01372099999,+60.567,+009.133
01373099999,+60.567,+009.133
01374099999,+60.933,+010.033
01374399999,+61.000,+009.300
01375099999,+61.467,+010.133
01375599999,+61.033,+002.033
01376099999,+60.383,+009.600
01378099999,+61.100,+010.467
01379099999,+61.883,+010.150
01380099999,+61.650,+010.117
01380199999,+61.167,+009.967
01381099999,+60.700,+010.867
01382099999,+60.767,+010.800
01383099999,+61.400,+011.080
01383999999,+60.817,+011.067
01384099999,+60.194,+011.100
01385099999,+60.817,+011.067
01386099999,+60.800,+011.100
01387099999,+61.450,+010.183
01389099999,+61.183,+011.367
01391099999,+60.617,+012.017
01392099999,+60.617,+012.017
01393099999,+61.883,+012.033
01397099999,+61.300,+012.267
01400099999,+56.550,+003.217
01401099999,+59.983,+002.250
01403099999,+59.300,+004.867
01403399999,+56.550,+003.250
01403599999,+59.350,+005.217
01406099999,+59.917,+005.067
01408099999,+59.345,+005.208
01409099999,+59.150,+005.250
01411099999,+59.067,+005.417
01412099999,+58.650,+005.567
01413099999,+58.750,+005.650
01414099999,+59.433,+005.067
01415099999,+58.877,+005.638
01416099999,+58.950,+005.733
01417099999,+59.483,+005.750
